,,"This is the list of HEVC Standard Essential Patents included in the HEVC Advance Patent Portfolio License as of January 2022. The evaluation of patents by the independent Patent Evaluator is ongoing, and this list will be updated as new patents are determined to be HEVC Standard Essential Patents. This list identifies the number of claims of each patent evaluated to be an HEVC Standard Essential Patent. Each listed patent may include additional essential claims that have not yet been evaluated. The sections of the HEVC/H.265 standard are identified by way of example only. Other sections of the standard may also be relevant to each corresponding patent.",,,,,,,
Count (Claims),Count (Patents),Profile,Country,Patent Number,Claim Number,Category,Licensor,Est. Exp. Date,"Representative HEVC/H.265 Sections (Version 2, unless otherwise specified)"
85,82,Main/Main10,AL,AL8309,1,Decoder,Samsung,20340106,"6.3.1, 7.3.2.3.1, 7.3.6.1, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.4.3.3.1, 7.4.7.1, 7.4.9.1, 7.4.9.4, 9.3.1, 9.3.2.1, 9.3.2.2, 9.3.4.1"
86,83,Main/Main10,AL,AL8322,,,Samsung,,See Note
87,84,Main/Main10,AL,AL8405,1,Decoder,Samsung,20340106,"6.3.1, 7.3.2.3.1, 7.3.6.1, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.4.3.3.1, 7.4.7.1, 7.4.9.1, 7.4.9.4, 9.3.1, 9.3.2.1, 9.3.2.2, 9.3.4.1"
88,85,Main/Main10,AL,AL8675,1,Decoder,Samsung,20300818,"0.7, 3, 6.3.2, 6.3.3, 7.3.8.4, 7.3.8.5, 7.3.8.6, 7.3.8.9, 7.4.9.4, 7.4.9.5, 7.4.9.6, 7.4.9.9, 8.5.3.2.1, 8.5.3.2.6, 8.5.3.2.7"
89,86,Main/Main10,AL,AL9662,1,Decoder,ETRI,20330118,"8.5.3.1, 8.5.3.2.1, 8.5.3.2.6, 8.5.3.2.7, 8.5.3.2.8, 8.5.3.2.9, F.8.3.1"
90,86,Main/Main10,AL,AL9662,4,Encoder,ETRI,20330118,"8.5.3.1, 8.5.3.2.1, 8.5.3.2.6, 8.5.3.2.7, 8.5.3.2.8, 8.5.3.2.9, F.8.3.1"
91,87,Main/Main10,AL,AL9987,1,Decoder,ETRI,20310411,"7.4.9.5, 7.4.9.11, 8.4.2, 8.4.3, 8.4.4.2.1, 8.4.4.2.3, 8.4.4.2.5"
92,87,Main/Main10,AL,AL9987,3,Encoder,ETRI,20310411,"7.4.9.5, 7.4.9.11, 8.4.2, 8.4.3, 8.4.4.2.1, 8.4.4.2.3, 8.4.4.2.5"
93,88,Main/Main10,AR,AR018758,1,Encoder,Philips,20190316,"9.3, 9.3.4.3"
94,88,Main/Main10,AR,AR018758,15,Decoder,Philips,20190316,"9.3, 9.3.4.3"
95,89,Main/Main10,AR,AR88540,1,Encoder,Sun Patent,20321018,"7.3.8.6, 7.3.8.9, 7.4.9.6, 8.1, 8.5.2, 8.5.3.1, 8.5.3.2.1, 8.5.3.2.6, 8.5.3.2.7 8.5.3.2.8, 8.5.3.2.9, 8.5.3.3.2, 8.5.3.3.3.1, 8.6.7"
96,90,Main/Main10,AR,AR90815,1,Encoder,Sun Patent,20330411,"7.3.1.1, 7.3.1.2, 7.3.2.1, 7.3.2.4, 7.3.5, 7.4.2.2, 7.4.3.1, 8.1.1, C.1, D.1, D.2.1, D.2.3, D.3.3, E.1, E.2.2, E.3.2"
97,91,Main/Main10,AR,AR91182,1,Encoder,Sun Patent,20330524,"7.2, 7.3.8.3, 7.4.9.3, 8.7.3.2, 9.3.1, 9.3.2.2, 9.3.3.1, 9.3.3.2, 9.3.4.1, 9.3.4.2.1, 9.3.4.3.2.1, 9.3.4.3.4"
98,92,Main/Main10,AR,AR92495,1,Encoder,Sun Patent,20330909,"0.7, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.9.8"
99,92,Main/Main10,AR,AR92495,3,Decoder,Sun Patent,20330909,"0.7, 0.8, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.9.8"
100,93,Main/Main10,AT,ATE1000612,1,Decoder,Samsung,20300816,"3.12, 3.25, 3.32, 3.33, 3.35, 3.44, 3.96, 3.97, 6.3.2, 7.2, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 8.4.1, 8.6.3, 8.6.4, 8.6.4.1, Table 7-10"
101,94,Main/Main10,AT,ATE1009245,1,Decoder,Samsung,20301029,"6.3.1, 6.3.2, 7.3.8, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.4.3.2, 7.4.3.2.1, 7.4.9.4"
102,95,Main/Main10,AT,ATE1009728,1,Decoder,Samsung,20330702,"7.3.8, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.9.8, 9, 9.1, 9.3, 9.3.1, 9.3.2, 9.3.2.2, 9.3.4.2.1, Table 9-43"
103,96,Main/Main10,AT,ATE1023038,1,Decoder,Samsung,20310817,"7.3.2.2.1, 7.3.8.5, 7.3.8.6, 7.3.8.8, 7.4.3.2.1, 7.4.9.5, 7.4.9.8, 8.4.1, 8.4.4.1, 8.5.1, 8.6.2, 8.6.4.1"
104,97,Main/Main10,AT,ATE1023039,1,Decoder,Samsung,20310817,"7.3.2.2.1, 7.3.8.5, 7.3.8.6, 7.3.8.8, 7.4.3.2.1, 7.4.9.5, 7.4.9.8, 8.4.1, 8.4.4.1, 8.5.1, 8.6.2, 8.6.4.1"
105,98,Main/Main10,AT,ATE1023046,2,Bitstream,DIAB,20321106,"6.3.2, 7.2, 7.3.8.11, 7.4.3.3.1, 7.4.9.10, 7.4.9.11, 9.3.1"
106,99,Main/Main10,AT,ATE1023047,14,Decoder,GEVC,20310411,"7.2, 7.3.8.11, 7.4.3.2.1, 7.4.9.10, 7.4.9.11, 9.3.1, 9.3.2.2, 9.3.4.2.1, 9.3.4.2.5"
